whitePixelCount
 0,62365
 0,62545
 0,63958
 0,62925
 0,63276
 0,62776
 0,62818
 0,63588
 0,53544
 0,42848
 0,48529
 0,57014
 0,41432
 0,55111
 0,46339
 0,54217
 0,61071
 0,52507
 0,59708
 0,62416
 0,62535
 0,61494
 0,57107
 0,61134
 0,61537
 1,60433
 1,59230
 1,54658
 1,55468
 1,58621
 1,59342
 1,55534
 1,56053
 1,38676
 1,53524
 1,34021
 1,40709
 1,48574
 1,47146
 1,55676
 1,43998
 1,57002
 1,53790
 1,46483
 1,56899
 1,50590
 1,46967
 1,57289
 1,55429
 1,56750
 2,58392
 2,60166
 2,61320
 2,61348
 2,59755
 2,60756
 2,62196
 2,60820
 2,52518
 2,37926
 2,49861
 2,43352
 2,55252
 2,47212
 2,56022
 2,50217
 2,59514
 2,51940
 2,53750
 2,60475
 2,59703
 2,52562
 2,60489
 2,58653
 2,52835
 3,59718
 3,61805
 3,62118
 3,57663
 3,59267
 3,57650
 3,60374
 3,59865
 3,50918
 3,44873
 3,40329
 3,52091
 3,43019
 3,52637
 3,47855
 3,44537
 3,52183
 3,59182
 3,46768
 3,58424
 3,59442
 3,58925
 3,55034
 3,58005
 3,51062
 4,62878
 4,60586
 4,60755
 4,62712
 4,62899
 4,61926
 4,62550
 4,62950
 4,53653
 4,45066
 4,45999
 4,53266
 4,57568
 4,48251
 4,58314
 4,60437
 4,61179
 4,54183
 4,59633
 4,60796
 4,58835
 4,60352
 4,57026
 4,56425
 4,61374
 5,56979
 5,60091
 5,60677
 5,61653
 5,59186
 5,61240
 5,61079
 5,61625
 5,52186
 5,40950
 5,49926
 5,54682
 5,48045
 5,46274
 5,36189
 5,48991
 5,57812
 5,49449
 5,56065
 5,58429
 5,59211
 5,57889
 5,47843
 5,53776
 5,56255
 6,55010
 6,57144
 6,59184
 6,59654
 6,55203
 6,55726
 6,57959
 6,59512
 6,42848
 6,29532
 6,48257
 6,41341
 6,38305
 6,48834
 6,33450
 6,44433
 6,57419
 6,47134
 6,57948
 6,51630
 6,51702
 6,47077
 6,57287
 6,55180
 6,57541
 7,60661
 7,58841
 7,58587
 7,60662
 7,61025
 7,61982
 7,60509
 7,59573
 7,53785
 7,43980
 7,38126
 7,40091
 7,38124
 7,44869
 7,45919
 7,50793
 7,61382
 7,59225
 7,51118
 7,55304
 7,59061
 7,53449
 7,60846
 7,56916
 7,51764
 8,65213
 8,64578
 8,64564
 8,65293
 8,65435
 8,64639
 8,65348
 8,64816
 8,53964
 8,51010
 8,53910
 8,60795
 8,53956
 8,54280
 8,59074
 8,59775
 8,63471
 8,61699
 8,56821
 8,63207
 8,63633
 8,62762
 8,63003
 8,63909
 8,63344
 9,54910
 9,57764
 9,59123
 9,59779
 9,55086
 9,57331
 9,57589
 9,55712
 9,29348
 9,47182
 9,48534
 9,45729
 9,32184
 9,34580
 9,40024
 9,38631
 9,56712
 9,54709
 9,47946
 9,46203
 9,60496
 9,56261
 9,56421
 9,57735
 9,55898
