I_1,I_2,I_3,I_4,I_5,I_6,I_7
 2,0.684626,0.400111,0.109506,0.0692601,0.00593412,0.0430953,-0.00108088
 3,374.764,132252,2.80631e+06,1.83503e+06,4.1225e+12,5.77351e+08,-5.88008e+11
 3,862.481,734120,1.95617e+08,2.07093e+08,4.1682e+16,1.77438e+11,-1.08713e+14
 3,840.466,688065,7.13378e+07,6.47573e+07,4.40135e+15,5.37139e+10,-2.48973e+13
 3,17.3392,242.312,21.6675,11.1943,173.971,174.233,11.3312
 3,534.062,276684,6.93549e+06,7.56035e+06,5.47449e+13,3.95846e+09,-3.26491e+11
 3,292.732,89136.6,1.05266e+08,4.54157e+07,2.9586e+15,1.18803e+10,-1.05232e+15
 3,489.538,237650,2.33836e+06,1.93698e+06,4.1217e+12,9.19329e+08,-7.19018e+10
 3,36.3143,1106.83,477.823,194.785,55496.1,4981.98,21247.5
 3,136.961,17649,1.01399e+06,883845,8.36535e+11,1.1376e+08,1.76643e+10
 3,291.794,81165.6,1.90445e+07,1.93878e+07,3.72545e+14,5.51366e+09,-8.7406e+11
 3,24.4258,489.804,70.6625,12.6628,367.847,274.562,90.3571
 3,16.0919,195.623,20.0147,6.14535,65.6678,82.6386,-18.242
 3,20.871,355.538,109.605,49.1409,3573.3,914.106,487.78
 3,10.7576,90.7084,2.92373,0.347675,0.348314,3.30362,0.0393819
 3,14.9808,178.615,25.9864,9.56023,150.098,121.326,-13.3085
 3,410.586,163184,1.97109e+07,1.9623e+07,3.85919e+14,7.91878e+09,-1.47828e+12
 3,260.752,62667.7,1.86818e+06,1.69597e+06,3.01845e+12,4.18267e+08,-4.63701e+10
 3,361.385,123948,749448,289400,1.2004e+11,5.45642e+07,-6.12821e+10
 3,15.9903,203.339,23.1535,6.36316,76.7107,90.3973,-8.9892
 3,224.558,49855.9,1.92765e+07,1.71226e+07,3.11066e+14,3.82158e+09,2.795e+12
 3,6.84823,11563.1,1.29583e+08,3.88851e+07,2.27494e+15,-3.89511e+09,1.56321e+15
 3,213.998,43259.4,3.44665e+06,3.57875e+06,1.25688e+13,7.43256e+08,2.53543e+10
 3,83.8991,5974.05,4715.34,589.687,-964242,-45480.1,192682
 3,105.405,20050.2,2.60311e+07,4.39253e+06,1.02427e+13,3.89656e+08,4.58393e+13
 3,330.36,103410,1.62646e+08,1.60048e+08,2.58223e+16,5.1467e+10,-2.48415e+13
 4,9.90783,69.0712,0.965518,0.789179,0.66745,6.32445,0.170487
 4,-534494,2.49907e+11,5.19825e+17,5.71391e+17,3.11368e+35,-2.85587e+23,-4.93701e+33
 4,212.38,42583,3.81854e+06,4.44703e+06,1.83254e+13,9.14102e+08,-5.1667e+09
 4,18.1424,251.266,64.9001,24.832,994.295,374.832,-71.669
 4,45.9269,1810.1,23406.4,28933.6,7.5189e+08,1.23091e+06,4.01258e+07
 4,220.924,46404.6,9.26798e+06,1.02268e+07,9.95618e+13,2.20093e+09,6.09335e+11
 4,1066.83,1.13433e+06,1.3638e+08,1.38895e+08,1.91163e+16,1.47929e+11,-2.74745e+12
 4,62.2452,3454.95,16854.1,23807.5,4.76831e+08,1.39937e+06,7.83147e+06
 4,-1020.2,1.55501e+06,1.34402e+10,7.63736e+09,7.63139e+19,-9.48944e+12,-1.27899e+19
 4,310.338,124212,4.79881e+07,1.53992e+07,3.80829e+14,5.32457e+09,-1.73798e+14
 4,515.627,255496,39123.5,2733.38,-1.55574e+07,1.18123e+06,2.35998e+07
 4,30.2129,641.986,126.619,269.384,49179.2,6756.33,7524.08
 4,-96373.3,2.16688e+10,1.41031e+16,5.5442e+15,4.70337e+31,-8.03999e+20,1.38294e+31
 4,101.478,8665.13,52928.9,65671.9,3.8516e+09,6.04062e+06,3.95285e+08
 4,13.7612,122.31,6.55356,5.5042,32.5543,56.5483,5.75035
 4,24.2602,378.942,70.2012,174.878,13551.5,3260.46,13849.4
 4,26.6616,456.912,228.212,30.3937,659.018,-18.5312,2444.01
 4,426.458,177018,3.19614e+06,3.9513e+06,1.40394e+13,1.66233e+09,-2.59193e+11
